"id","order_id","client_id","item_id","merchant_id","date_created","item_name","order_notes","normal_price","discounted_price","size","qty","cooking_ref","addon","ingredients","non_taxable"
"1095","622","707","706","0","0000-00-00","Fish and Chips",NULL,"5500.0000","5500.0000","regular","1",,"[]",,"1"
"1101","628","707","3307","0","0000-00-00","Tamatar Ka Shorba",NULL,"2800.0000","2800.0000","regular","1",,"[]",,"1"
"327976","146417","1585","8270","97","2020-09-01","Tally Sandwich packet (10 pcs)",,"1000.0000","1000.0000","regular","1",,"[]",,"1"
"327977","146418","967","6328","74","2020-09-01","Morning twist","morning twist with coconut milk, please","2500.0000","2500.0000","regular","1",,"[]",,"1"
"327978","146418","967","6327","74","2020-09-01","Sweet Peanaco","morning twist with coconut milk, please","2500.0000","2500.0000","regular","1",,"[{""addon_name"":""CHIA SEEDS (2 teaspoon)"",""addon_category"":""SUPER FOOD"",""addon_qty"":1,""addon_price"":500}]",,"1"
"327979","146419","9978","8710","24","2020-09-01","Tomatoes (500g)",,"650.0000","650.0000","medium","1",,"[]",,"1"
"327980","146419","9978","1625","24","2020-09-01","Red Onions (1Kg)",,"1000.0000","1000.0000","regular","1",,"[]",,"1"
"327981","146419","9978","1649","24","2020-09-01","Potato irish (1Kg)",,"550.0000","550.0000","regular","1",,"[]",,"1"
"327982","146419","9978","1658","24","2020-09-01","Zucchini medium size (Piece)",,"1000.0000","1000.0000","regular","1",,"[]",,"1"
"327983","146419","9978","1666","24","2020-09-01","Banana (Big Size)",,"1500.0000","1500.0000","regular","1",,"[]",,"1"
"327984","146419","9978","1686","24","2020-09-01","Orange Imported",,"600.0000","600.0000","regular","6",,"[]",,"1"
"327985","146419","9978","1694","24","2020-09-01","Passion Fruit (1kg)",,"1400.0000","1400.0000","regular","1",,"[]",,"1"
"327986","146420","1030","5358","64","2020-09-01","Caffee Latte","no sugar in juice","2100.0000","2100.0000","small","1",,"[]",,"1"
"327987","146420","1030","5358","64","2020-09-01","Caffee Latte","no sugar in juice","2600.0000","2600.0000","medium","1",,"[]",,"1"
"327988","146420","1030","5511","64","2020-09-01","Minty pineade","no sugar in juice","2500.0000","2500.0000","large","1",,"[]",,"1"
"327989","146421","2066","5106","45","2020-09-01","Java Dawa",,"2000.0000","2000.0000","medium","1",,"[]",,"1"
"327990","146422","870","7788","95","2020-09-01","Iced Latte",,"2500.0000","2500.0000","regular","2",,"[]",,"1"
"327991","146422","870","7767","95","2020-09-01","Mango Twist",,"4000.0000","4000.0000","regular","1",,"[]",,"1"
"327992","146423","796","3878","44","2020-09-01","Jameson Whisky  (35 Cl)",,"10500.0000","10500.0000","regular","1",,"[]",,"1"
"327993","146424","1403","5108","45","2020-09-01","Pineapple Juice",,"2600.0000","2600.0000","medium","1",,"[]",,"1"
"327994","146424","1403","3961","45","2020-09-01","Iced latte",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"327995","146424","1403","3959","45","2020-09-01","Iced arnold palmer",,"2700.0000","2700.0000","regular","1",,"[]",,"1"
"327996","146424","1403","3959","45","2020-09-01","Iced arnold palmer",,"2700.0000","2700.0000","regular","1",,"[]",,"1"
"327997","146425","17166","12607","154","2020-09-01","Chicken Breast",,"6500.0000","6500.0000","1 Kg","2",,"[]",,"1"
"327998","146426","14817","10957","128","2020-09-01","Lettuce soft 1 piece",,"480.0000","480.0000","regular","3",,"[]",,"1"
"327999","146426","14817","10610","128","2020-09-01","Potato Irish 1kg (Kinigi)",,"600.0000","600.0000","1kg","3",,"[]",,"1"
"328000","146426","14817","10614","128","2020-09-01","Plantain Yellow 1/2Kg",,"780.0000","780.0000","1/2 Kg","5",,"[]",,"1"
"328001","146426","14817","10548","128","2020-09-01","Epinards Bunch",,"960.0000","960.0000","regular","1",,"[]",,"1"
"328002","146426","14817","10551","128","2020-09-01","Dodo(Bunch)",,"360.0000","360.0000","regular","1",,"[]",,"1"
"328003","146426","14817","10552","128","2020-09-01","Kale(Bunch)",,"600.0000","600.0000","regular","1",,"[]",,"1"
"328004","146426","14817","10959","128","2020-09-01","Spinach Local (bunch)",,"480.0000","480.0000","regular","1",,"[]",,"1"
"328005","146426","14817","10591","128","2020-09-01","Mandarine 1Kg",,"2400.0000","2400.0000","1kg","1",,"[]",,"1"
"328006","146426","14817","11100","128","2020-09-01","Bone -in Rib steak 1KG",,"3600.0000","3600.0000","1kg","1",,"[]",,"1"
"328007","146427","4933","5305","45","2020-09-01","Breakfast Sandwich",,"3900.0000","3900.0000","regular","1",,"[{""addon_name"":""Bagel (with eggs & cheese)"",""addon_category"":""Breakfast Sandwich Bread options"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Bacon"",""addon_category"":""Breakfast Sandwich Meat options"",""addon_qty"":1,""addon_price"":1100}]",,"1"
"328008","146427","4933","5099","45","2020-09-01","Vanilla Latte",,"2400.0000","2400.0000","small","1",,"[]",,"1"
"328009","146427","4933","5099","45","2020-09-01","Vanilla Latte",,"2700.0000","2700.0000","medium","1",,"[]",,"1"
"328010","146428","2436","190","2","2020-09-01","Brown Fresh Eggs",,"450.0000","450.0000","regular","4",,"[]",,"1"
"328011","146428","2436","195","2","2020-09-01","Local White Fresh Eggs",,"600.0000","600.0000","regular","4",,"[]",,"1"
"328012","146428","2436","9460","2","2020-09-01","Inyange Milk",,"600.0000","600.0000","500 ML","1",,"[]",,"1"
"328013","146429","17167","9160","111","2020-09-01","Agatogo",,"1500.0000","1500.0000","regular","2",,"[]",,"1"
"328014","146429","17167","8932","111","2020-09-01","Inshyushyu",,"1000.0000","1000.0000","large","2",,"[]",,"1"
"328015","146430","14817","12597","154","2020-09-01","Beef Roast",,"4500.0000","4500.0000","1 Kg","1",,"[]",,"1"
"328016","146430","14817","12599","154","2020-09-01","American Minced Meat",,"2350.0000","2350.0000","500 g","1",,"[]",,"1"
"328017","146430","14817","13204","154","2020-09-01","Kidney",,"2000.0000","2000.0000","500 g","1",,"[]",,"1"
"328018","146430","14817","13205","154","2020-09-01","Liver",,"2000.0000","2000.0000","500 g","1",,"[]",,"1"
"328019","146431","8023","5387","64","2020-09-01","Sausages",,"2600.0000","2600.0000","regular","2",,"[]",,"1"
"328020","146431","8023","5388","64","2020-09-01","Plantains",,"2100.0000","2100.0000","regular","2",,"[]",,"1"
"328021","146431","8023","5329","64","2020-09-01","Caribbean Chicken Salad",,"6100.0000","6100.0000","regular","1",,"[]",,"1"
"328022","146432","2887","5100","45","2020-09-01","Mocha",,"2700.0000","2700.0000","medium","1",,"[]",,"1"
"328023","146432","2887","4017","45","2020-09-01","Full Java breakfast",,"6400.0000","6400.0000","regular","1",,"[{""addon_name"":""Sausage"",""addon_category"":""CHOICES"",""addon_qty"":1,""addon_price"":0}]",,"1"
"328024","146433","10367","7999","90","2020-09-01","The Rwandan",,"3000.0000","3000.0000","Full (2 Eggs)","2",,"[]",,"1"
"328025","146433","10367","8024","90","2020-09-01","Watermelon",,"2000.0000","2000.0000","regular","1",,"[]",,"1"
"328026","146434","6883","5463","64","2020-09-01","Breakfast Burritos",,"4800.0000","4800.0000","regular","1",,"[]",,"1"
"328027","146435","824","8495","104","2020-09-01","Guacamole with chapatti",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"328028","146436","1072","10513","128","2020-09-01","Plantain Green 1Kg",,"1440.0000","1440.0000","1kg","3",,"[]",,"1"
"328029","146436","1072","10614","128","2020-09-01","Plantain Yellow 1/2Kg",,"780.0000","780.0000","1/2 Kg","4",,"[]",,"1"
"328030","146437","17166","1485","2","2020-09-01","Lake Kivu Mineral Water",,"600.0000","600.0000","regular","6",,"[]",,"1"
"328031","146437","17166","188","2","2020-09-01","Gouda Cheese",,"2500.0000","2500.0000","regular","1",,"[{""addon_name"":""1Kg"",""addon_category"":""Gouda Cheese"",""addon_qty"":1,""addon_price"":2000}]",,"1"
"328032","146437","17166","255","2","2020-09-01","Masaka Farms Strawberry Yogurt",,"500.0000","500.0000","regular","4",,"[{""addon_name"":""250ml"",""addon_category"":""Masaka Farms Strawberry Yogurt"",""addon_qty"":1,""addon_price"":0}]",,"1"
"328033","146437","17166","13276","2","2020-09-01","insect repellent spray",,"2500.0000","2500.0000","regular","1",,"[]",,"1"
"328034","146437","17166","1459","2","2020-09-01","Imena Dairy Ice Cream",,"500.0000","500.0000","regular","1",,"[]",,"1"
"328035","146437","17166","1404","2","2020-09-01","Rebex Rich Milk Stick Biscuits",,"400.0000","400.0000","regular","1",,"[]",,"1"
"328036","146437","17166","603","2","2020-09-01","Everyday cornichons",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"328037","146437","17166","413","2","2020-09-01","Everyday Aardbein Fraices Jam",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"328038","146438","4537","7947","91","2020-09-01","Milk Loaf",,"2500.0000","2500.0000","regular","1",,"[]",,"1"
"328039","146438","4537","7948","91","2020-09-01","Butter Loaf",,"2500.0000","2500.0000","regular","1",,"[]",,"1"
"328040","146439","14006","7201","24","2020-09-01","Avocado Unripe","fresh peanut raw; will pay by mobile on receipt of orders","300.0000","300.0000","medium","2",,"[]",,"1"
"328041","146439","14006","1582","24","2020-09-01","Broccoli (Piece)","fresh peanut raw; will pay by mobile on receipt of orders","1000.0000","1000.0000","regular","1",,"[]",,"1"
"328042","146439","14006","1634","24","2020-09-01","Peanut Raw (500g)","fresh peanut raw; will pay by mobile on receipt of orders","1500.0000","1500.0000","regular","1",,"[]",,"1"
"328043","146439","14006","1676","24","2020-09-01","Mandarine (500g)","fresh peanut raw; will pay by mobile on receipt of orders","1500.0000","1500.0000","regular","1",,"[]",,"1"
"328044","146439","14006","1707","24","2020-09-01","Watermelon (Big Size)","fresh peanut raw; will pay by mobile on receipt of orders","3000.0000","3000.0000","large","1",,"[]",,"1"
"328045","146440","13348","7951","91","2020-09-01","Pain au chocolat",,"1000.0000","1000.0000","regular","3",,"[]",,"1"
"328046","146441","697","541","2","2020-09-01","Fusilli Burgu Spaghetti",,"900.0000","900.0000","regular","1",,"[]",,"1"
"328047","146441","697","897","2","2020-09-01","Olive oil sabroso",,"3500.0000","3500.0000","regular","1",,"[{""addon_name"":""250g"",""addon_category"":""Olive oil sabroso"",""addon_qty"":1,""addon_price"":3500}]",,"1"
"328048","146441","697","588","2","2020-09-01","Salsa",,"300.0000","300.0000","regular","2",,"[]",,"1"
"328049","146441","697","607","2","2020-09-01","Sweet Corn",,"1500.0000","1500.0000","regular","1",,"[]",,"1"
"328050","146441","697","597","2","2020-09-01","Royco",,"2500.0000","2500.0000","regular","1",,"[]",,"1"
"328051","146442","17130","404","8","2020-09-01","Chicken Stroganoff",,"5000.0000","5000.0000","regular","1",,"[]",,"1"
"328052","146443","5138","2186","14","2020-09-01","Special Lunch",,"2500.0000","2500.0000","regular","1",,"[]",,"1"
"328053","146443","5138","4197","14","2020-09-01","Buffalo Wings",,"5000.0000","5000.0000","regular","1",,"[]",,"1"
"328054","146444","13881","5358","64","2020-09-01","Caffee Latte",,"2900.0000","2900.0000","large","1",,"[]",,"1"
"328055","146445","17166","1485","2","2020-09-01","Lake Kivu Mineral Water",,"600.0000","600.0000","regular","6",,"[]",,"1"
"328056","146445","17166","188","2","2020-09-01","Gouda Cheese",,"2500.0000","2500.0000","regular","1",,"[{""addon_name"":""1Kg"",""addon_category"":""Gouda Cheese"",""addon_qty"":1,""addon_price"":2000}]",,"1"
"328057","146445","17166","255","2","2020-09-01","Masaka Farms Strawberry Yogurt",,"500.0000","500.0000","regular","4",,"[{""addon_name"":""250ml"",""addon_category"":""Masaka Farms Strawberry Yogurt"",""addon_qty"":1,""addon_price"":0}]",,"1"
"328058","146445","17166","13276","2","2020-09-01","insect repellent spray",,"2500.0000","2500.0000","regular","1",,"[]",,"1"
"328059","146445","17166","1459","2","2020-09-01","Imena Dairy Ice Cream",,"500.0000","500.0000","regular","1",,"[]",,"1"
"328060","146445","17166","1404","2","2020-09-01","Rebex Rich Milk Stick Biscuits",,"400.0000","400.0000","regular","1",,"[]",,"1"
"328061","146445","17166","603","2","2020-09-01","Everyday cornichons",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"328062","146445","17166","413","2","2020-09-01","Everyday Aardbein Fraices Jam",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"328063","146446","17166","1485","2","2020-09-01","Lake Kivu Mineral Water",,"600.0000","600.0000","regular","6",,"[]",,"1"
"328064","146446","17166","188","2","2020-09-01","Gouda Cheese",,"2500.0000","2500.0000","regular","1",,"[{""addon_name"":""1Kg"",""addon_category"":""Gouda Cheese"",""addon_qty"":1,""addon_price"":2000}]",,"1"
"328065","146446","17166","255","2","2020-09-01","Masaka Farms Strawberry Yogurt",,"500.0000","500.0000","regular","4",,"[{""addon_name"":""250ml"",""addon_category"":""Masaka Farms Strawberry Yogurt"",""addon_qty"":1,""addon_price"":0}]",,"1"
"328066","146446","17166","13276","2","2020-09-01","insect repellent spray",,"2500.0000","2500.0000","regular","1",,"[]",,"1"
"328067","146446","17166","1459","2","2020-09-01","Imena Dairy Ice Cream",,"500.0000","500.0000","regular","1",,"[]",,"1"
"328068","146446","17166","1404","2","2020-09-01","Rebex Rich Milk Stick Biscuits",,"400.0000","400.0000","regular","1",,"[]",,"1"
"328069","146446","17166","603","2","2020-09-01","Everyday cornichons",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"328070","146446","17166","413","2","2020-09-01","Everyday Aardbein Fraices Jam",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"328071","146447","1631","1073","8","2020-09-01","Whole Grilled Chicken with chips","Replacing order for 146403, Rider: Daniel NZAYITURIKI","12000.0000","12000.0000","regular","1",,"[]",,"1"
"328072","146448","2436","190","2","2020-09-01","Brown Fresh Eggs",,"450.0000","450.0000","regular","4",,"[]",,"1"
"328073","146448","2436","195","2","2020-09-01","Local White Fresh Eggs",,"600.0000","600.0000","regular","4",,"[]",,"1"
"328074","146448","2436","9460","2","2020-09-01","Inyange Milk",,"600.0000","600.0000","500 ML","1",,"[]",,"1"
"328075","146449","13850","11027","115","2020-09-01","Vanilla",,"900.0000","900.0000","One Scoop","1",,"[{""addon_name"":""White Chocolate Chips"",""addon_category"":""Toppings"",""addon_qty"":1,""addon_price"":700},{""addon_name"":""Nutella"",""addon_category"":""Toppings"",""addon_qty"":1,""addon_price"":750}]",,"1"
"328076","146450","13850","12947","135","2020-09-01","Crepes",,"500.0000","500.0000","regular","4",,"[]",,"1"
"328077","146451","6367","7711","65","2020-09-01","BBQ Beef Burger",,"4000.0000","4000.0000","regular","1",,"[]",,"1"
"328078","146452","13850","9382","44","2020-09-01","Spirit Whisky Cola",,"2300.0000","2300.0000","regular","1",,"[]",,"1"
"328079","146453","1631","4780","56","2020-09-01","King Double Burger","Replacing order for 146208, Rider: HABIMANA Vedaste","4000.0000","4000.0000","Plain","3",,"[]",,"1"
"328080","146454","978","10558","128","2020-09-01","Avocado 1 piece",,"360.0000","360.0000","regular","2",,"[]",,"1"
"328081","146454","978","10562","128","2020-09-01","Garden Peas 1Kg",,"1800.0000","1800.0000","regular","2",,"[]",,"1"
"328082","146454","978","10607","128","2020-09-01","Spring onion(bunch)",,"480.0000","480.0000","regular","1",,"[]",,"1"
"328083","146454","978","10610","128","2020-09-01","Potato Irish 1kg (Kinigi)",,"600.0000","600.0000","1kg","10",,"[]",,"1"
"328084","146454","978","10623","128","2020-09-01","Red onions 1Kg",,"960.0000","960.0000","1kg","1",,"[]",,"1"
"328085","146454","978","10646","128","2020-09-01","White Cabbage piece",,"600.0000","600.0000","medium","1",,"[]",,"1"
"328086","146454","978","10651","128","2020-09-01","Bell Pepper Green 1 Kg",,"960.0000","960.0000","1kg","1",,"[]",,"1"
"328087","146454","978","10956","128","2020-09-01","Leeks",,"360.0000","360.0000","medium","1",,"[]",,"1"
"328088","146454","978","10827","128","2020-09-01","Lemon green 1KG",,"2400.0000","2400.0000","1kg","1",,"[]",,"1"
"328089","146454","978","11860","128","2020-09-01","Tree tomatoes (Ibinyarwanda) 1Kg",,"1200.0000","1200.0000","regular","1",,"[]",,"1"
"328090","146454","978","10580","128","2020-09-01","Pineapple Big  piece",,"1200.0000","1200.0000","regular","1",,"[]",,"1"
"328091","146454","978","12330","128","2020-09-01","Gorilla's Coffee(500g)",,"5400.0000","5400.0000","regular","1",,"[]",,"1"
"328092","146455","477","12600","154","2020-09-01","Beef Mix",,"1400.0000","1400.0000","500 g","1",,"[]",,"1"
"328093","146455","477","12599","154","2020-09-01","American Minced Meat",,"2350.0000","2350.0000","500 g","1",,"[]",,"1"
"328094","146456","1713","6317","74","2020-09-01","Healthy fruits",,"3500.0000","3500.0000","regular","1",,"[]",,"1"
"328095","146457","17169","14122","167","2020-09-01","Nokia 105",,"15000.0000","14250.0000","regular","1",,"[]",,"1"
"328096","146458","13042","7998","90","2020-09-01","The Ugandan",,"2000.0000","2000.0000","Full (2 Eggs)","1",,"[]",,"1"
"328097","146459","1231","366","2","2020-09-01","Nescafe Classic",,"7000.0000","7000.0000","large","1",,"[]",,"1"
"328098","146459","1231","591","2","2020-09-01","Merysa",,"300.0000","300.0000","regular","3",,"[]",,"1"
"328099","146459","1231","740","2","2020-09-01","Delmonte Juices",,"2000.0000","2000.0000","regular","2",,"[{""addon_name"":""Pineapple & orange"",""addon_category"":""Delmonte Juices"",""addon_qty"":1,""addon_price"":0}]",,"1"
"328100","146459","1231","190","2","2020-09-01","Brown Fresh Eggs",,"450.0000","450.0000","regular","10",,"[]",,"1"
"328101","146459","1231","9460","2","2020-09-01","Inyange Milk",,"12000.0000","12000.0000","Box of 12 (1L)","1",,"[]",,"1"
"328102","146459","1231","255","2","2020-09-01","Masaka Farms Strawberry Yogurt",,"500.0000","500.0000","regular","3",,"[{""addon_name"":""500ml"",""addon_category"":""Masaka Farms Strawberry Yogurt"",""addon_qty"":1,""addon_price"":300}]",,"1"
"328103","146459","1231","1275","2","2020-09-01","Samosa (Beef)",,"300.0000","300.0000","regular","3",,"[]",,"1"
"328104","146460","6866","4281","53","2020-09-01","Chicken BBQ",,"7500.0000","7500.0000","Medium (25Cm)","1",,"[{""addon_name"":""Margarita"",""addon_category"":""Free Pizza"",""addon_qty"":1,""addon_price"":0}]",,"1"
"328105","146461","1090","7947","91","2020-09-01","Milk Loaf",,"2500.0000","2500.0000","regular","1",,"[]",,"1"
"328106","146461","1090","7949","91","2020-09-01","Wheat (Brown) Loaf",,"2500.0000","2500.0000","regular","2",,"[]",,"1"
"328107","146462","7606","3070","33","2020-09-01","Cheese Burger",,"2200.0000","2200.0000","regular","1",,"[{""addon_name"":""With Chips"",""addon_category"":""CHOOSE ONE OF THE OPTIONS BELOW"",""addon_qty"":1,""addon_price"":1500}]",,"1"
"328108","146463","7348","343","9","2020-09-01","Afia Egg & Cheese Sandwich",,"4500.0000","4500.0000","regular","1",,"[]",,"1"
"328109","146463","7348","625","9","2020-09-01","Sweet Waffles",,"2800.0000","2800.0000","regular","1",,"[]",,"1"
"328110","146463","7348","12594","9","2020-09-01","Burrito bowl",,"7000.0000","7000.0000","regular","1",,"[]",,"1"
"328111","146464","605","3926","44","2020-09-01","Amarula Cream (375ml)",,"12500.0000","12500.0000","regular","1",,"[]",,"1"
"328112","146465","2542","8501","104","2020-09-01","Spaghetti Bolognese",,"5000.0000","5000.0000","regular","1",,"[]",,"1"
"328113","146466","869","5306","64","2020-09-01","Breakfast Sandwich",,"3900.0000","3900.0000","regular","2",,"[{""addon_name"":""Croissant"",""addon_category"":""Breakfast Sandwich Bread options"",""addon_qty"":1,""addon_price"":500},{""addon_name"":""Ham"",""addon_category"":""Breakfast Sandwich Meat options"",""addon_qty"":1,""addon_price"":1100}]",,"1"
"328114","146467","13894","9210","113","2020-09-01","Zingaro",,"1500.0000","1500.0000","regular","6",,"[]",,"1"
"328115","146467","13894","9304","113","2020-09-01","Chips",,"1000.0000","1000.0000","regular","2",,"[]",,"1"
"328116","146468","17013","5099","45","2020-09-01","Vanilla Latte",,"3100.0000","3100.0000","large","1",,"[]",,"1"
"328117","146468","17013","4105","45","2020-09-01","Chocolate chip cookie",,"1600.0000","1600.0000","regular","1",,"[]",,"1"
"328118","146468","17013","4105","45","2020-09-01","Chocolate chip cookie",,"1600.0000","1600.0000","regular","1",,"[]",,"1"
"328119","146469","8202","11959","128","2020-09-01","Isambaza (Zikawushije) 1Kg",,"12000.0000","12000.0000","regular","1",,"[]",,"1"
"328120","146469","8202","12270","128","2020-09-01","Imperial soap",,"720.0000","720.0000","regular","3",,"[]",,"1"
